date,first_name,from_team,from_team_key,last_name,position,team,team_key,timestamp,to_team,to_team_key,transaction_id,type
2016-10-28,Roy,,,Hibbert,C,Stream Team,364.l.8091.t.9,Fri Oct 28 22:35:43 PDT 2016,,,87,drop
2016-10-27,Roy,,,Hibbert,C,Stream Team,364.l.8091.t.9,Thu Oct 27 15:53:06 PDT 2016,,,86,add
2016-10-27,J.R.,,,Smith,"SG,SF",Stream Team,364.l.8091.t.9,Thu Oct 27 15:53:06 PDT 2016,,,86,drop
2016-10-27,Wade,,,Baldwin IV,PG,Trinh,364.l.8091.t.10,Thu Oct 27 07:36:14 PDT 2016,,,85,add
2016-10-27,Patty,,,Mills,PG,D-League All-Stars,364.l.8091.t.5,Thu Oct 27 00:08:53 PDT 2016,,,84,add
2016-10-27,Tony,,,Parker,PG,D-League All-Stars,364.l.8091.t.5,Thu Oct 27 00:08:53 PDT 2016,,,84,drop
2016-10-27,Bojan,,,Bogdanovic,"SG,SF",D-League All-Stars,364.l.8091.t.5,Thu Oct 27 00:05:27 PDT 2016,,,83,add
2016-10-27,Alex,,,Len,"PF,C",D-League All-Stars,364.l.8091.t.5,Thu Oct 27 00:05:11 PDT 2016,,,82,drop
2016-10-27,Mirza,,,Teletovic,"SF,PF",D-League All-Stars,364.l.8091.t.5,Thu Oct 27 00:04:24 PDT 2016,,,81,drop
2016-10-26,Justin,,,Hamilton,"PF,C",Lebron James and Co.,364.l.8091.t.2,Wed Oct 26 23:30:18 PDT 2016,,,80,add
2016-10-26,Matthew,,,Dellavedova,"PG,SG",Lebron James and Co.,364.l.8091.t.2,Wed Oct 26 23:30:18 PDT 2016,,,80,drop
2016-10-26,Sergio,,,Rodriguez,PG,Adam Silver,364.l.8091.t.1,Wed Oct 26 23:23:10 PDT 2016,,,79,add
2016-10-26,Kyle,,,Anderson,"SG,SF",Adam Silver,364.l.8091.t.1,Wed Oct 26 23:23:10 PDT 2016,,,79,drop
2016-10-26,E'Twaun,,,Moore,"PG,SG",Trinh,364.l.8091.t.10,Wed Oct 26 05:22:16 PDT 2016,,,78,add
2016-10-26,Patrick,,,Beverley,"PG,SG",Trinh,364.l.8091.t.10,Wed Oct 26 05:22:16 PDT 2016,,,78,drop
2016-10-26,Jonathon,,,Simmons,"SG,SF",Cool Cats,364.l.8091.t.4,Wed Oct 26 02:08:44 PDT 2016,,,77,add
2016-10-26,Joe,,,Johnson,"SG,SF",One for the Mainland,364.l.8091.t.7,Wed Oct 26 01:27:14 PDT 2016,,,76,add
2016-10-26,Kelly,,,Oubre Jr.,SF,One for the Mainland,364.l.8091.t.7,Wed Oct 26 01:27:14 PDT 2016,,,76,drop
2016-10-25,Tony,,,Parker,PG,D-League All-Stars,364.l.8091.t.5,Tue Oct 25 02:18:31 PDT 2016,,,75,add
2016-10-24,Andrew,,,Bogut,C,Forgot About Dray,364.l.8091.t.3,Mon Oct 24 20:42:36 PDT 2016,,,74,add
2016-10-24,Kyle,,,Anderson,"SG,SF",Adam Silver,364.l.8091.t.1,Mon Oct 24 00:30:59 PDT 2016,,,73,add
