first_name,last_name,position,team,timestamp,type
Mike,Dunleavy,"SG,SF",Greendale CC,"Wed, 09 Mar 2016 21:41:40",add
Mario,Chalmers,"PG,SG",Greendale CC,"Wed, 09 Mar 2016 21:41:40",drop
Brandon,Knight,"PG,SG",Thailandia,"Wed, 09 Mar 2016 07:15:35",add
Mario,Hezonja,SG,Thailandia,"Wed, 09 Mar 2016 07:15:35",drop
Frank,Kaminsky,"PF,C",Greendale CC,"Mon, 07 Mar 2016 02:41:55",add
Courtney,Lee,"SG,SF",Greendale CC,"Mon, 07 Mar 2016 02:41:55",drop
Patty,Mills,PG,Greendale CC,"Mon, 07 Mar 2016 02:26:22",add
Mason,Plumlee,"PF,C",Greendale CC,"Mon, 07 Mar 2016 02:26:22",drop
Matt,Barnes,"SG,SF",Thailandia,"Mon, 07 Mar 2016 00:17:33",add
Justise,Winslow,"SF,PF",Thailandia,"Mon, 07 Mar 2016 00:17:33",drop
Nikola,Mirotic,"SF,PF",Greendale CC,"Sun, 06 Mar 2016 19:06:32",add
Ed,Davis,"PF,C",Greendale CC,"Sun, 06 Mar 2016 19:06:32",drop
DeMarre,Carroll,"SF,PF",Thailandia,"Sun, 06 Mar 2016 09:04:46",add
Bobby,Portis,"PF,C",Thailandia,"Sun, 06 Mar 2016 09:04:46",drop
Emmanuel,Mudiay,PG,Cool Cats,"Sat, 05 Mar 2016 23:55:13",add
Eric,Gordon,SG,Cool Cats,"Sat, 05 Mar 2016 23:55:13",drop
Meyers,Leonard,"PF,C",Cool Cats,"Fri, 04 Mar 2016 02:50:06",add
Tim,Duncan,"PF,C",Cool Cats,"Fri, 04 Mar 2016 02:50:06",drop
Al,Jefferson,"PF,C",#Hwaiting,"Fri, 04 Mar 2016 01:37:23",add
Willie,Cauley-Stein,"PF,C",#Hwaiting,"Fri, 04 Mar 2016 01:37:23",drop
Norris,Cole,"PG,SG",Cool Cats,"Thu, 03 Mar 2016 03:00:05",add
Kobe,Bryant,"SG,SF",Cool Cats,"Thu, 03 Mar 2016 03:00:05",drop
Mario,Hezonja,SG,Thailandia,"Wed, 02 Mar 2016 23:29:36",add
Matt,Barnes,"SG,SF",Thailandia,"Wed, 02 Mar 2016 23:29:36",drop
Josh,Richardson,"SG,SF",Valar Moredunkis,"Wed, 02 Mar 2016 23:08:58",add
Al-Farouq,Aminu,"SF,PF",Valar Moredunkis,"Wed, 02 Mar 2016 23:08:58",drop
Joe,Johnson,"SG,SF",So Kawhi 。◕ ‿ ◕。,"Wed, 02 Mar 2016 16:58:17",add
Clint,Capela,"PF,C",So Kawhi 。◕ ‿ ◕。,"Wed, 02 Mar 2016 16:58:17",drop
Bobby,Portis,"PF,C",Thailandia,"Wed, 02 Mar 2016 00:10:41",add
Doug,McDermott,SF,Thailandia,"Wed, 02 Mar 2016 00:10:41",drop
Doug,McDermott,SF,Thailandia,"Tue, 01 Mar 2016 13:27:17",add
Jared,Dudley,"SG,SF",Thailandia,"Tue, 01 Mar 2016 13:27:17",drop
Marcus,Morris,"SF,PF",Cool Cats,"Tue, 01 Mar 2016 10:36:46",add
Archie,Goodwin,"PG,SG",Cool Cats,"Tue, 01 Mar 2016 10:36:46",drop
Alex,Len,"PF,C",Valar Moredunkis,"Tue, 01 Mar 2016 04:13:40",add
Danilo,Gallinari,SF,Valar Moredunkis,"Tue, 01 Mar 2016 04:13:40",drop
David,Lee,"PF,C",Thailandia,"Mon, 29 Feb 2016 12:47:58",add
Al,Jefferson,"PF,C",Thailandia,"Mon, 29 Feb 2016 12:47:58",drop
